serial,start_sample,end_sample
32949487,71820820,71821051
32949488,71822330,71822561
32949489,71823839,71824070
32949490,71825349,71825580
32949491,71826858,71827089
32949492,71828367,71828598
32949493,71829877,71830108
32949494,71831387,71831618
32949495,71832895,71833126
32949496,71834405,71834636
32949497,71835914,71836145
32949498,71837424,71837655
32949499,71838934,71839165
32949500,71840443,71840674
32949501,71841953,71842184
32949502,71843462,71843693
32949503,71844972,71845203
32949504,71846481,71846712
32949505,71847990,71848221
32949506,71849500,71849731
32949507,71851009,71851240
32949508,71852518,71852749
32949509,71854029,71854260
32949510,71855538,71855769
32949511,71857047,71857278
32949512,71858557,71858788
32949513,71860066,71860297
32949514,71861575,71861806
32949515,71863085,71863316
32949516,71864594,71864825
32949517,71866104,71866335
32949518,71867614,71867845
32949519,71869122,71869353
32949520,71870632,71870863
32949521,71872141,71872372
32949522,71873650,71873881
32949523,71875160,71875391
32949524,71876669,71876900
32949525,71878178,71878409
32949526,71879688,71879919
32949527,71881197,71881428
32949528,71882707,71882938
32949529,71884217,71884448
32949530,71885726,71885957
32949531,71887236,71887467
32949532,71888745,71888976
32949533,71890253,71890484
32949534,71891763,71891994
32949535,71893272,71893503
32949536,71894781,71895012
32949537,71896291,71896522
32949538,71897800,71898031
32949539,71899310,71899541
32949540,71900820,71901051
32949541,71902329,71902560
32949542,71903839,71904070
32949543,71905348,71905579
32949544,71906857,71907088
32949545,71908367,71908598
32949546,71909876,71910107
32949547,71911385,71911616
32949548,71912895,71913126
32949549,71914404,71914635
32949550,71915913,71916144
32949551,71917423,71917654
32949552,71918932,71919163
32949552,71920442,71920673
32949612,71922454,71922685
32949614,71923964,71924195
32949615,71925473,71925704
32949616,71926983,71927214
32949617,71928493,71928724
32949618,71930001,71930232
32949619,71931511,71931742
32949620,71933020,71933251
32949621,71934529,71934760
32949622,71936039,71936270
32949623,71937547,71937778
32949624,71939056,71939287
32949625,71940566,71940797
32949626,71942075,71942306
32949627,71943583,71943814
32949628,71945093,71945324
32949629,71946602,71946833
32949630,71948112,71948343
32949631,71949622,71949853
32949632,71951131,71951362
32949633,71952640,71952871
32949634,71954149,71954380
32949635,71955658,71955889
32949636,71957168,71957399
32949637,71958677,71958908
32949638,71960185,71960416
32949639,71961695,71961926
32949640,71963204,71963435
32949641,71964713,71964944
32949642,71966221,71966452
32949643,71967731,71967962
32949644,71969239,71969470
32949645,71970749,71970980
32949646,71972258,71972489
32949647,71973768,71973999
32949648,71975277,71975508
32949649,71976787,71977018
32949650,71978295,71978526
32949651,71979805,71980036
32949652,71981315,71981546
32949653,71982824,71983055
32949654,71984334,71984565
32949655,71985844,71986075
32949656,71987353,71987584
32949657,71988862,71989093
32949658,71990372,71990603
32949659,71991881,71992112
32949660,71993391,71993622
32949661,71994901,71995132
32949662,71996410,71996641
32949663,71997920,71998151
32949664,71999430,71999661
32949665,72000939,72001170
32949666,72002449,72002680
32949667,72003958,72004189
32949668,72005468,72005699
32949669,72006977,72007208
32949670,72008487,72008718
32949671,72009997,72010228
32949672,72011507,72011738
32949673,72013016,72013247
32949674,72014526,72014757
32949675,72016035,72016266
32949676,72017544,72017775
32949677,72019054,72019285
32949678,72020564,72020795
32949679,72022073,72022304
32949680,72023583,72023814
32949681,72025092,72025323
32949682,72026602,72026833
32949683,72028111,72028342
32949684,72029621,72029852
32949685,72031131,72031362
32949686,72032640,72032871
32949687,72034149,72034380
32949688,72035659,72035890
32949689,72037168,72037399
32949690,72038678,72038909
32949691,72040188,72040419
32949692,72041698,72041929
32949693,72043207,72043438
32949694,72044717,72044948
32949695,72046226,72046457
32949696,72047736,72047967
32949697,72049245,72049476
32949698,72050755,72050986
32949699,72052264,72052495
32949700,72053774,72054005
32949701,72055284,72055515
32949702,72056793,72057024
32949703,72058302,72058533
32949704,72059812,72060043
32949705,72061321,72061552
32949706,72062831,72063062
32949707,72064341,72064572
32949708,72065849,72066080
32949709,72067359,72067590
32949710,72068869,72069100
32949711,72070378,72070609
32949712,72071888,72072119
32949713,72073398,72073629
32949714,72074906,72075137
32949715,72076416,72076647
32949716,72077926,72078157
32949717,72079435,72079666
32949718,72080945,72081176
32949719,72082454,72082685
32949720,72083965,72084196
32949721,72085474,72085705
32949722,72086983,72087214
32949723,72088493,72088724
32949724,72090002,72090233
32949725,72091512,72091743
32949726,72093022,72093253
32949727,72094531,72094762
32949728,72096041,72096272
32949729,72097551,72097782
32949730,72099059,72099290
32949731,72100569,72100800
32949732,72102078,72102309
32949733,72103587,72103818
32949734,72105097,72105328
32949735,72106607,72106838
32949736,72108116,72108347
32949737,72109626,72109857
32949738,72111135,72111366
32949739,72112645,72112876
32949740,72114154,72114385
32949741,72115663,72115894
32949742,72117173,72117404
32949743,72118682,72118913
32949744,72120192,72120423
32949745,72121702,72121933
32949746,72123211,72123442
32949747,72124720,72124951
32949748,72126230,72126461
32949749,72127739,72127970
32949750,72129249,72129480
32949751,72130758,72130989
32949752,72132267,72132498
32949753,72133777,72134008
32949754,72135286,72135517
32949755,72136795,72137026
32949756,72138305,72138536
32949757,72139814,72140045
32949758,72141323,72141554
32949759,72142833,72143064
32949760,72144342,72144573
32949761,72145852,72146083
32949762,72147362,72147593
32949763,72148871,72149102
32949764,72150381,72150612
