serial,start_sample,end_sample
32897124,1365912,1366143
32897125,1367422,1367653
32897126,1368931,1369162
32897127,1370440,1370671
32897128,1371950,1372181
32897129,1373459,1373690
32897130,1374970,1375201
32897131,1376479,1376710
32897132,1377988,1378219
32897133,1379498,1379729
32897134,1381007,1381238
32897135,1382517,1382748
32897136,1384027,1384258
32897137,1385536,1385767
32897138,1387046,1387277
32897139,1388556,1388787
32897140,1390065,1390296
32897141,1391575,1391806
32897142,1393084,1393315
32897143,1394593,1394824
32897144,1396103,1396334
32897145,1397612,1397843
32897146,1399122,1399353
32897147,1400632,1400863
32897148,1402141,1402372
32897149,1403651,1403882
32897150,1405160,1405391
32897151,1406669,1406900
32897152,1408179,1408410
32897153,1409688,1409919
32897154,1411198,1411429
32897155,1412708,1412939
32897156,1414217,1414448
32897157,1415727,1415958
32897158,1417237,1417468
32897159,1418746,1418977
32897160,1420256,1420487
32897161,1421765,1421996
32897162,1423274,1423505
32897163,1424784,1425015
32897164,1426293,1426524
32897165,1427803,1428034
32897166,1429313,1429544
32897167,1430821,1431052
32897168,1432331,1432562
32897169,1433840,1434071
32897170,1435350,1435581
32897171,1436860,1437091
32897172,1438368,1438599
32897173,1439878,1440109
32897174,1441388,1441619
32897175,1442897,1443128
32897176,1444407,1444638
32897177,1445916,1446147
32897178,1447426,1447657
32897179,1448936,1449167
32897180,1450445,1450676
32897181,1451954,1452185
32897182,1453464,1453695
32897183,1454973,1455204
32897184,1456482,1456713
32897185,1457992,1458223
32897186,1459501,1459732
32897187,1461010,1461241
32897188,1462519,1462750
32897189,1464028,1464259
32897190,1465538,1465769
32897191,1467046,1467277
32897192,1468555,1468786
32897193,1470065,1470296
32897194,1471574,1471805
32897195,1473084,1473315
32897196,1474592,1474823
32897197,1476102,1476333
32897198,1477610,1477841
32897199,1479119,1479350
32897200,1480628,1480859
32897201,1482137,1482368
32897202,1483646,1483877
32897203,1485156,1485387
32897204,1486664,1486895
32897205,1488174,1488405
32897206,1489683,1489914
32897207,1491193,1491424
32897208,1492702,1492933
32897209,1494211,1494442
32897210,1495720,1495951
32897211,1497229,1497460
32897212,1498738,1498969
32897213,1500247,1500478
32897214,1501756,1501987
32897215,1503265,1503496
32897216,1504775,1505006
32897217,1506284,1506515
32897218,1507794,1508025
32897219,1509303,1509534
32897220,1510812,1511043
32897221,1512321,1512552
32897222,1513830,1514061
