TimeStamps,chunk_serial,UTCTimeStamp
14034852,111090315,2025-10-01 19:09:57.948400
14035853,111090316,2025-10-01 19:09:57.981767
14036854,111090317,2025-10-01 19:09:58.015150
14037856,111090318,2025-10-01 19:09:58.048533
14038857,111090319,2025-10-01 19:09:58.081900
14039858,111090320,2025-10-01 19:09:58.115267
14040860,111090321,2025-10-01 19:09:58.148667
14041862,111090322,2025-10-01 19:09:58.182067
14042863,111090323,2025-10-01 19:09:58.215433
14043864,111090324,2025-10-01 19:09:58.248800
14044865,111090325,2025-10-01 19:09:58.282167
14045867,111090326,2025-10-01 19:09:58.315567
14046868,111090327,2025-10-01 19:09:58.348933
14047870,111090328,2025-10-01 19:09:58.382333
14048871,111090329,2025-10-01 19:09:58.415700
14049872,111090330,2025-10-01 19:09:58.449067
14050874,111090331,2025-10-01 19:09:58.482467
14051875,111090332,2025-10-01 19:09:58.515833
14052876,111090333,2025-10-01 19:09:58.549200
14053878,111090334,2025-10-01 19:09:58.582600
14054879,111090335,2025-10-01 19:09:58.615967
14055881,111090336,2025-10-01 19:09:58.649367
14056882,111090337,2025-10-01 19:09:58.682733
14057884,111090338,2025-10-01 19:09:58.716133
14058885,111090339,2025-10-01 19:09:58.749500
14059886,111090340,2025-10-01 19:09:58.782867
14060887,111090341,2025-10-01 19:09:58.816233
14061889,111090342,2025-10-01 19:09:58.849633
14062890,111090343,2025-10-01 19:09:58.883000
14063892,111090344,2025-10-01 19:09:58.916400
14064894,111090345,2025-10-01 19:09:58.949800
14065895,111090346,2025-10-01 19:09:58.983167
14066896,111090347,2025-10-01 19:09:59.016533
14067897,111090348,2025-10-01 19:09:59.049900
14068899,111090349,2025-10-01 19:09:59.083300
14069900,111090350,2025-10-01 19:09:59.116667
14070902,111090351,2025-10-01 19:09:59.150067
14071904,111090352,2025-10-01 19:09:59.183467
14072905,111090353,2025-10-01 19:09:59.216833
14073906,111090354,2025-10-01 19:09:59.250200
14074907,111090355,2025-10-01 19:09:59.283567
14075909,111090356,2025-10-01 19:09:59.316967
14076910,111090357,2025-10-01 19:09:59.350333
14077911,111090358,2025-10-01 19:09:59.383700
14078912,111090359,2025-10-01 19:09:59.417067
14079914,111090360,2025-10-01 19:09:59.450467
14080915,111090361,2025-10-01 19:09:59.483833
14081916,111090362,2025-10-01 19:09:59.517200
14082918,111090363,2025-10-01 19:09:59.550600
14083919,111090364,2025-10-01 19:09:59.583967
14084921,111090365,2025-10-01 19:09:59.617367
14085922,111090366,2025-10-01 19:09:59.650733
14086923,111090367,2025-10-01 19:09:59.684100
14087925,111090368,2025-10-01 19:09:59.717500
14088927,111090369,2025-10-01 19:09:59.750900
14089928,111090370,2025-10-01 19:09:59.784267
14090929,111090371,2025-10-01 19:09:59.817633
14091931,111090372,2025-10-01 19:09:59.851033
14092932,111090373,2025-10-01 19:09:59.884400
14093933,111090374,2025-10-01 19:09:59.917767
14094935,111090375,2025-10-01 19:09:59.951167
14095936,111090376,2025-10-01 19:09:59.984533
14096938,111090377,2025-10-01 19:10:00.017933
14097939,111090378,2025-10-01 19:10:00.051300
14098940,111090379,2025-10-01 19:10:00.084667
14099941,111090380,2025-10-01 19:10:00.118033
14100943,111090381,2025-10-01 19:10:00.151433
14101944,111090382,2025-10-01 19:10:00.184800
